summary_type,segment,raw_rows,dedup_rows,ok_rows,unique_niches,top_niches,top_categories
"source_group","mobile_app_store","12000","6958","12000","5","gaming:2400|astrology_esoterics:2400|avatar_identity:2400|coaching:2400|mindfulness:2400","Health & Fitness:3265|Lifestyle:2154|Games:1800|Productivity:1181|Entertainment:924"
"source_group","google_play_or_android","2527","1646","2527","5","astrology_esoterics:577|avatar_identity:559|gaming:478|coaching:475|mindfulness:438","unknown:2527"
"source_group","duckduckgo_search","70","56","70","1","gaming:70","unknown:70"
"source_group","steam_pc","9151","6384","8893","5","gaming:4285|mindfulness:3347|avatar_identity:589|coaching:534|astrology_esoterics:396","platform_img win:3974|unknown:2893|platform_img win|platform_img mac:1011|platform_img win|platform_img mac|platform_img linux:751|collection_note:258"
"source_group","itch_web_game","7047","5696","6973","3","gaming:3816|avatar_identity:1721|mindfulness:1510","Simulation:1623|itch.io game:1295|Visual Novel:1093|Adventure:656|Puzzle:544"
"source_group","desktop_store","6942","1526","6938","5","mindfulness:1645|coaching:1406|gaming_progression:1377|avatar_identity:1322|astrology_esoterics:1192","Productivity:1836|Health & Fitness:1108|Lifestyle:1062|Games:996|Utilities:416"
"source_group","browser_extension","252","252","251","5","astrology_esoterics:55|avatar_identity:52|coaching:51|mindfulness:50|gaming_progression:44","Chrome Web Store:251|collection_note:1"
"source_group","unknown_source","251","251","251","5","astrology_esoterics:55|avatar_identity:52|coaching:51|mindfulness:50|gaming_progression:43","unknown:251"
"niche","gaming","11049","8931","10908","1","gaming","platform_img win:2138|unknown:1392|Games:1298|Simulation:968|Visual Novel:737"
"niche","astrology_esoterics","4675","2532","4675","1","astrology_esoterics","Lifestyle:1804|unknown:1028|Entertainment:390|Health & Fitness:289|Productivity:234"
"niche","avatar_identity","6695","4475","6594","1","avatar_identity","unknown:1128|Photo & Video:840|itch.io game:562|Entertainment:544|Games:515"
"niche","coaching","4917","2948","4917","1","coaching","Productivity:1414|unknown:1060|Health & Fitness:932|Lifestyle:529|Education:347"
"niche","mindfulness","9440","6742","9348","1","mindfulness","Health & Fitness:2520|platform_img win:1836|unknown:1090|Lifestyle:574|Productivity:515"
"niche","gaming_progression","1464","535","1461","1","gaming_progression","Games:724|Productivity:305|Utilities:75|Entertainment:69|Health & Fitness:47"
