app_name,publisher,platform,source_kind,source_bucket,source_url,niche,keyword,query,rank_position,category,rating,review_count,pricing_type,iap_present,subscription_present,core_features,retention_mechanics,personalization_tags,audience_tags,monetization_notes,collected_at,evidence_quality,collection_status
"COACH by Dropzone AI","","browser_extension","chrome_web_store_site_search","Chrome Web Store","https://chromewebstore.google.com/detail/coach-by-dropzone-ai/cgihclihdemfnlgblnkebdadfponoigo","coaching","AI coach","chromewebstore search AI coach","1","Chrome Web Store","","","","","","5.0 AI-powered guidance for security alert investigations","","","","","2026-05-31T03:56:23.628Z","medium","ok"
"Lichess AI Coach","","browser_extension","chrome_web_store_site_search","Chrome Web Store","https://chromewebstore.google.com/detail/lichess-ai-coach/lokjgfhopfgphjjbfgbpddciboajhjdj","coaching","AI coach","chromewebstore search AI coach","2","Chrome Web Store","","","","","","4.8 AI analysis for Lichess. The fastest way to boost your rating. AI finds your weaknesses and turns mistakes into powerful lessons","","","","","2026-05-31T03:56:23.629Z","medium","ok"
"Made That AI Coach","","browser_extension","chrome_web_store_site_search","Chrome Web Store","https://chromewebstore.google.com/detail/made-that-ai-coach/hflhhbajkhcaoidmpgaodgjigjkfpamh","coaching","AI coach","chromewebstore search AI coach","3","Chrome Web Store","","","","","","madethat.com 5.0 Enrich your AI prompts with team context and get real-time coaching on how to prompt better.","","","","","2026-05-31T03:56:23.629Z","medium","ok"
"Spekit — AI Sidekick: Your AI Sales Coach and Assistant","","browser_extension","chrome_web_store_site_search","Chrome Web Store","https://chromewebstore.google.com/detail/spekit-%E2%80%94-ai-sidekick-your/nbphjjmibhopfgkkbpoggemjnihnchhk","coaching","AI coach","chromewebstore search AI coach","4","Chrome Web Store","","","","","","www.spekit.com/ 4.9 Your AI sales assistant. Get real-time coaching, content, and deal support — right inside the sales tools you use every day","","","","","2026-05-31T03:56:23.630Z","medium","ok"
"Hinty - AI Meeting Coach","","browser_extension","chrome_web_store_site_search","Chrome Web Store","https://chromewebstore.google.com/detail/hinty-ai-meeting-coach/beebbfnmhhdlhloadoijchlejjohegho","coaching","AI coach","chromewebstore search AI coach","5","Chrome Web Store","","","","","","0.0 Real-time AI suggestions during video meetings (Google Meet, Zoom, Microsoft Teams). Get smart hints and coaching powered by AI.","","","","","2026-05-31T03:56:23.630Z","medium","ok"
"Mindstone AI Coach","","browser_extension","chrome_web_store_site_search","Chrome Web Store","https://chromewebstore.google.com/detail/mindstone-ai-coach/jadnmojgpippfggmljlocloipejjalob","coaching","AI coach","chromewebstore search AI coach","6","Chrome Web Store","","","","","","mindstone.com 4.7 Bring Mindstone with you where you work. Improve prompts inline: open the panel, get suggestions, replace in one click.","","","","","2026-05-31T03:56:23.630Z","medium","ok"
"Reply Coach AI","","browser_extension","chrome_web_store_site_search","Chrome Web Store","https://chromewebstore.google.com/detail/reply-coach-ai/aodgpgdcbpdgipbplmongbhkopfbpjfh","coaching","AI coach","chromewebstore search AI coach","7","Chrome Web Store","","","","","","5.0 AI communication coach for better replies.","","","","","2026-05-31T03:56:23.631Z","medium","ok"
"AI Prompt Coach by LeadWithAI.co","","browser_extension","chrome_web_store_site_search","Chrome Web Store","https://chromewebstore.google.com/detail/ai-prompt-coach-by-leadwi/chhfmdhihjalnghacmfflhijhmmhgkjl","coaching","AI coach","chromewebstore search AI coach","8","Chrome Web Store","","","","","","leadwithai.co 0.0 AI Prompt Coach by LeadWithAI.co scores and improves your prompts on ChatGPT, Claude, and Gemini for better AI responses","","","","","2026-05-31T03:56:23.631Z","medium","ok"
"LeetCode AI Coach","","browser_extension","chrome_web_store_site_search","Chrome Web Store","https://chromewebstore.google.com/detail/leetcode-ai-coach/enbfnoneblppoheaechfcncklldegiin","coaching","AI coach","chromewebstore search AI coach","9","Chrome Web Store","","","","","","0.0 AI-powered LeetCode assistant: code assessment, progressive hints, optimal solutions, and personalized study recommendations.","","","","","2026-05-31T03:56:23.631Z","medium","ok"
"AI Interview Coach for LeetCode","","browser_extension","chrome_web_store_site_search","Chrome Web Store","https://chromewebstore.google.com/detail/ai-interview-coach-for-le/blepnhgpppjlidjcmfnogedclmmbpkpc","coaching","AI coach","chromewebstore search AI coach","10","Chrome Web Store","","","","","","0.0 AI-powered interview coach that injects a coaching panel into LeetCode problem pages.","","","","","2026-05-31T03:56:23.631Z","medium","ok"
"Habit Tracker","","browser_extension","chrome_web_store_site_search","Chrome Web Store","https://chromewebstore.google.com/detail/habit-tracker/ikcpbmlbgoknannnfcnfhmohpcnlphmn","coaching","habit tracker","chromewebstore search habit tracker","1","Chrome Web Store","","","","","","Featured 4.1 Add personal habits based on your goals and keep track of them.","","","","","2026-05-31T03:56:24.359Z","medium","ok"
"Habit Tracker","","browser_extension","chrome_web_store_site_search","Chrome Web Store","https://chromewebstore.google.com/detail/habit-tracker/ncokhechhpjgjonhjnlaneglmdkfkcbj","coaching","habit tracker","chromewebstore search habit tracker","2","Chrome Web Store","","","","","","habit-tracker.c-ext.comFeatured 4.8 Use Online Habit Tracker app widget for daily habit tracking. Keep track of progress, achieve goals, build habits in productive app.","","","","","2026-05-31T03:56:24.359Z","medium","ok"
