app_name,publisher,platform,rank_position,category,rating,review_count,pricing_type,iap_present,subscription_present,core_features,retention_mechanics,personalization_tags,source_url,collected_at,source_kind
"Co–Star Personalized Astrology","Co-Star Astrology Society","ios","","Lifestyle","4.7889","205221","free","","","Co–Star is the astrology app that deciphers the mystery of human relations through NASA data and biting truth. 2x App of the Day. Featured in the New York Times, Vogue, Vanity Fair, and more.
> ""Good ","","","https://apps.apple.com/us/app/co-star-personalized-astrology/id1264782561?uo=4","2026-05-21T13:46:34.259Z","app_store"
"TimePassages Astrology","AstroGraph Software","ios","","Lifestyle","4.83815","43539","free","","","Your birth chart is a map of the moment you arrived. TimePassages helps you read it.

Used by astrologers since 2012, from curious beginners to seasoned professionals, TimePassages is the most trusted","","","https://apps.apple.com/us/app/timepassages-astrology/id488946918?uo=4","2026-05-21T13:46:34.259Z","app_store"
"CHANI: Your Astrology Guide","Chani Nicholas Incorporated","ios","","Lifestyle","4.91526","53889","free","","","CHANI is your personalized guide through life’s ups and downs. The app was designed to make astrology accessible and useful. Our mission is to help people live their life’s purpose, and we believe tha","","","https://apps.apple.com/us/app/chani-your-astrology-guide/id1532791252?uo=4","2026-05-21T13:46:34.259Z","app_store"
"Nebula: Spiritual Guidance","Spiritual Nebula Limited","ios","","Lifestyle","4.57545","169233","free","","","Whether you're deeply spiritual, casually curious, or simply craving guidance during a transitional season, Nebula is a great place to start your journey to self-discovery. - Brit+Co

Nebula: Spiritua","","","https://apps.apple.com/us/app/nebula-spiritual-guidance/id1459969523?uo=4","2026-05-21T13:46:34.259Z","app_store"
"The Pattern: Astrology","Pattern Home, Inc.","ios","","Lifestyle","3.86124","12965","free","","","Created to help you feel seen and understood. A homegrown labor of love, The Pattern was born out of our founder’s personal journey of self-discovery. While trying to make sense of a challenging time,","","","https://apps.apple.com/us/app/the-pattern-astrology/id1071085727?uo=4","2026-05-21T13:46:34.259Z","app_store"
"Astro Future - Daily Horoscope","Scaldis Pte Ltd","ios","","Lifestyle","4.76966","19814","free","","","Welcome to Astro Future! Discover the astrology app that empowers you to see the good in the stars! 

Navigate the universe to understand yourself more deeply. Gain incredible insight into the astrolo","","","https://apps.apple.com/us/app/astro-future-daily-horoscope/id1119123378?uo=4","2026-05-21T13:46:34.259Z","app_store"
"The DailyHoroscope","Comitic Inc.","ios","","Lifestyle","4.84954","95217","free","","","The DailyHoroscope is a completely FREE horoscope application updated on a daily basis with the best daily horoscopes.

The DailyHoroscope is THE MOST POPULAR horoscope app on many major smartphones​.","","","https://apps.apple.com/us/app/the-dailyhoroscope/id363920434?uo=4","2026-05-21T13:46:34.259Z","app_store"
"Astrotalk - Talk to Astrologer","Codeyeti Software Solutions Private Limited","ios","","Lifestyle","4.72428","12683","free","","","Astrotalk is the top-rated Astrological App that provides the detailed predictions about your future using the following ways:
-Vedic astrology
-Hindu astrology
-Tarot card readings 
-Nadi astrology
-","","","https://apps.apple.com/us/app/astrotalk-talk-to-astrologer/id1208433822?uo=4","2026-05-21T13:46:34.259Z","app_store"
"Numerology & Astrology","Hanh Nguyen","ios","","Entertainment","4.64147","3640","free","","","Discover Your Destiny with the Ultimate Numerology, Astrology & Tarot App
Looking for clarity about your life path, relationships, career, or future?
Our all-in-one Numerology, Astrology, and Tarot ap","","","https://apps.apple.com/us/app/numerology-astrology/id1243994894?uo=4","2026-05-21T13:46:34.259Z","app_store"
"Sanctuary Psychic Reading","Sanctuary Ventures Inc","ios","","Lifestyle","4.79694","44110","free","","","Welcome to Sanctuary, your guide to unlocking your most fulfilling life. Experience personalized psychic readings, tarot card insights, and detailed horoscopes from real experts—not algorithms! Make t","","","https://apps.apple.com/us/app/sanctuary-psychic-reading/id1417411962?uo=4","2026-05-21T13:46:34.259Z","app_store"
